GRD_NEWID,MS_POPULATION_20200101
1kmN3123E3815,19
1kmN3124E3815,9
1kmN3125E3815,12
1kmN3126E3815,2
1kmN3127E3815,10
1kmN3128E3815,4
1kmN3129E3815,3
1kmN3130E3815,44
1kmN3131E3815,21
1kmN3132E3815,15
1kmN3133E3815,14
1kmN3134E3815,13
1kmN3135E3815,197
1kmN3136E3815,178
1kmN3137E3815,42
1kmN3138E3815,332
1kmN3139E3815,239
1kmN3140E3815,1845
1kmN3141E3815,936
1kmN3142E3815,0
1kmN3143E3815,0
1kmN3091E3816,0
1kmN3092E3816,51
1kmN3093E3816,21
1kmN3094E3816,8
1kmN3095E3816,33
1kmN3096E3816,11
1kmN3097E3816,28
1kmN3098E3816,36
1kmN3099E3816,488
1kmN3100E3816,17
1kmN3101E3816,20
1kmN3102E3816,23
1kmN3103E3816,1033
1kmN3104E3816,10
1kmN3105E3816,10
1kmN3106E3816,235
1kmN3107E3816,1409
1kmN3108E3816,11
1kmN3109E3816,16
1kmN3110E3816,869
1kmN3111E3816,201
1kmN3112E3816,27
1kmN3113E3816,21
1kmN3114E3816,38
1kmN3115E3816,22
1kmN3116E3816,18
1kmN3117E3816,44
1kmN3118E3816,202
1kmN3119E3816,0
1kmN3120E3816,8
1kmN3121E3816,26
1kmN3122E3816,11
1kmN3123E3816,305
1kmN3124E3816,34
1kmN3125E3816,41
1kmN3126E3816,4
1kmN3127E3816,11
1kmN3128E3816,184
1kmN3129E3816,56
1kmN3130E3816,13
1kmN3131E3816,445
1kmN3132E3816,56
1kmN3133E3816,23
1kmN3134E3816,12
1kmN3135E3816,6
1kmN3136E3816,12
1kmN3137E3816,4
1kmN3138E3816,155
1kmN3139E3816,14
1kmN3140E3816,469
1kmN3141E3816,1149
1kmN3142E3816,2039
1kmN3143E3816,0
1kmN3089E3817,0
1kmN3090E3817,2
1kmN3091E3817,14
1kmN3092E3817,41
1kmN3093E3817,31
1kmN3094E3817,13
1kmN3095E3817,16
1kmN3096E3817,198
1kmN3097E3817,14
1kmN3098E3817,28
1kmN3099E3817,18
1kmN3100E3817,57
1kmN3101E3817,47
1kmN3102E3817,6
1kmN3103E3817,303
1kmN3104E3817,21
1kmN3105E3817,18
1kmN3106E3817,129
1kmN3107E3817,570
1kmN3108E3817,11
1kmN3109E3817,23
1kmN3110E3817,286
1kmN3111E3817,22
1kmN3112E3817,21
1kmN3113E3817,166
1kmN3114E3817,47
1kmN3115E3817,32
1kmN3116E3817,25
1kmN3117E3817,34
1kmN3118E3817,12
1kmN3119E3817,10
1kmN3120E3817,11
1kmN3121E3817,2
1kmN3122E3817,24
1kmN3123E3817,21
1kmN3124E3817,28
1kmN3125E3817,40
1kmN3126E3817,7
1kmN3127E3817,1
1kmN3128E3817,36
1kmN3129E3817,7
